text,label
yaar ye movie toh bahut amazing thi,positive
finally exam khatam feeling so happy,positive
kya amazing food mila loved it,positive
bhai seriously this is the best day,positive
bahut acha experience tha really enjoyed,positive
mast hai yaar full paisa wasool,positive
itna helpful video thanks a lot,positive
finally got my dream job super excited,positive
ye song toh dil ko touch kar gaya,positive
bahut maza aaya is trip mein,positive
kya zabardast performance thi loved it,positive
aaj ka dinner was absolutely delicious,positive
this place is so beautiful yaar,positive
finally met my old friends bahut khushi hui,positive
what an amazing concert totally worth it,positive
bahut acchi news mili aaj great day,positive
yaar tere bina life boring thi miss you,positive
is hotel ki service ekdum first class hai,positive
mummy ke haath ka khana is the best,positive
finally weekend relaxing at home love it,positive
bhai party was lit bahut maza aaya,positive
new phone is awesome features kamaal ke hain,positive
teacher ne bahut acche se samjhaya understood everything,positive
road trip was superb best memories ever,positive
coffee shop ki ambiance bahut soothing hai,positive
gym jaana start kiya feeling so energetic,positive
promotion mil gayi finally hard work paid off,positive
sunset dekha beach pe so beautiful,positive
friends ke saath time spend karna is priceless,positive
homemade pizza turned out amazing first attempt,positive
book bahut interesting thi couldnt put it down,positive
morning walk pe gaya fresh feel ho raha,positive
birthday celebration was perfect thank you all,positive
online course bahut informative hai learning a lot,positive
new haircut looks great feeling confident,positive
train on time aayi for once happy,positive
neighbours bahut helpful hain lucky to have them,positive
salary credited finally shopping time,positive
plants grow ho rahe hain gardening is therapeutic,positive
childhood friend se mila after years emotional moment,positive
interview accha gaya confident about results,positive
home renovation complete looks beautiful now,positive
diet follow kar raha seeing results already,positive
meditation start kiya feeling peaceful,positive
surprise party for mom she was so happy,positive
college memories yaad aa gayi good old days,positive
cooking experiment successful family loved it,positive
long drive pe gaye weather perfect tha,positive
yoga class joined feeling flexible already,positive
documentary dekhi very inspiring must watch,positive
kya bakwas service hai totally disappointed,negative
bahut boring day tha nothing happened,negative
ye movie complete waste of time thi,negative
traffic mein stuck hun bahut frustrating,negative
kya ghatiya quality hai is product ki,negative
bahut bura experience tha never going back,negative
itna wait karaya for nothing terrible,negative
ye food toh bekaar tha completely tasteless,negative
aaj bahut sad feeling hai kuch acha nahi hua,negative
worst customer service ever gussa aa raha hai,negative
is jagah pe mat jana total fraud hai,negative
pagal kar diya inhone with their nonsense,negative
bahut disappointing match tha should have won,negative
ye plan toh fail ho gaya complete waste,negative
kya torture hai yaar unbearable situation,negative
headache ho raha hai badly need rest,negative
phone hang ho raha hai irritating bahut,negative
order late aaya cold food mila useless,negative
exam bahut tough tha not prepared enough,negative
boss ne daanta for no reason feeling low,negative
wifi not working cant do anything frustrated,negative
rain mein bhig gaya feeling sick now,negative
movie spoiler mil gaya ruined everything,negative
alarm nahi baja late ho gaya bad start,negative
friend ne cancel kiya last minute annoying,negative
ac kharab ho gaya itni garmi mein terrible,negative
paise waste ho gaye useless product,negative
sleep nahi aayi raat bhar tired feeling,negative
car breakdown ho gayi middle of nowhere worst,negative
fake product mila online shopping se cheated,negative
presentation mess ho gayi embarrassing moment,negative
flight delayed by hours wasted whole day,negative
hotel room dirty tha pathetic condition,negative
food poisoning ho gaya horrible experience,negative
keys kho gayi locked out of house,negative
phone screen crack ho gayi expensive repair,negative
gym band ho gaya membership waste,negative
rude behaviour mila shop pe never again,negative
project reject ho gaya months of work gone,negative
parking nahi mili drove around for hours,negative
mosquitoes ne sota nahi diya whole night,negative
printer jam ho gaya deadline miss hone wali,negative
wrong order deliver hua return process tedious,negative
laptop hang ho gaya data save nahi hua,negative
noise bahut hai neighbours se cant concentrate,negative
cold lag gayi medicine le raha feeling weak,negative
bus miss ho gayi next one after 1 hour,negative
atm out of cash had to walk far,negative
charger kharab ho gaya phone dead now,negative
meeting boring thi waste of 2 hours,negative
chai peene chalein kya after meeting,neutral
aaj monday hai back to work,neutral
office mein hun abhi will call later,neutral
kal movie dekhne jayenge shayad,neutral
meeting 3 baje hai dont forget,neutral
ghar pahunch gaya just reached home,neutral
kya plan hai weekend ka let me know,neutral
abhi lunch break mein hun will reply,neutral
train late hai as usual nothing new,neutral
kal se gym shuru karna hai planning,neutral
ye book padh raha hun these days,neutral
market jaana hai evening mein shopping,neutral
friends ke saath dinner tonight at 8,neutral
next week leave lena hai for travel,neutral
project deadline is friday need to finish,neutral
bhai tu kaisa hai long time no talk,neutral
amazon se order kiya tha waiting delivery,neutral
kal interview hai preparing for it,neutral
sunday ko party hai at my place,neutral
new series start ki hai watching slowly,neutral
doctor appointment hai 5 baje,neutral
rent pay karna hai end of month,neutral
grocery shopping karna hai list ready,neutral
laundry karna hai weekend pe,neutral
call karna hai parents ko evening mein,neutral
presentation banana hai for tomorrow,neutral
bike service ke liye jaana hai,neutral
electricity bill pay karna hai online,neutral
haircut karana hai bahut badh gaye,neutral
meeting reschedule ho gayi to wednesday,neutral
parcel aane wala hai tracking shows nearby,neutral
lunch mein kya khaya tell me,neutral
office se nikla traffic dekh ke batata hun,neutral
abhi gym mein hun call back later,neutral
movie 7 baje start hai reach by 6:45,neutral
sharma ji ka beta abroad ja raha,neutral
new restaurant khula hai near office,neutral
metro se ja raha hun will take time,neutral
parking mil gayi coming up now,neutral
battery low hai phone ki charge karna hai,neutral
weather cloudy hai might rain later,neutral
sale lagi hai online checking deals,neutral
cousin ki shaadi hai next month,neutral
exam results aane wale hain waiting,neutral
password bhul gaya reset karna padega,neutral
update install ho raha hai system pe,neutral
file send kar di check your email,neutral
location share karta hun maps pe,neutral
table book karni hai for 4 people,neutral
swimming class join karni hai summer mein,neutral
