text,label,normalized,language_tags,phonetic
yaar ye movie toh bahut amazing thi,positive,yaar ye movie toh bahut amazing thi,"['HI', 'HI', 'EN', 'HI', 'HI', 'EN', 'HI']",/jaːr jeː muːviː toː bəhʊt əmeɪzɪŋ tʰiː/
finally exam khatam feeling so happy,positive,finally exam khatam feeling so happy,"['EN', 'EN', 'UNK', 'EN', 'EN', 'EN']",/faɪnəliː ɪgzæm xətəm fiːlɪŋ soʊ hæpiː/
kya amazing food mila loved it,positive,kya amazing food mila loved it,"['HI', 'EN', 'EN', 'HI', 'EN', 'EN']",/kjaː əmeɪzɪŋ fuːd mɪlaː loːveːd ɪt/
bhai seriously this is the best day,positive,bhai seriously this is the best day,"['HI', 'EN', 'EN', 'EN', 'HI', 'EN', 'EN']",/bʰaːiː seːrɪaʊslj ðɪs ɪz tʰeː best deɪ/
bahut acha experience tha really enjoyed,positive,bahut acha experience tha really enjoyed,"['HI', 'HI', 'UNK', 'HI', 'EN', 'EN']",/bəhʊt ətʃʰaː ɪkspɪərɪəns tʰaː rɪəliː ɪndʒɔɪd/
mast hai yaar full paisa wasool,positive,mast hai yaar full paisa wasool,"['HI', 'HI', 'HI', 'UNK', 'HI', 'HI']",/məst hɛː jaːr fʊll pɛːsaː wəsuːl/
itna helpful video thanks a lot,positive,itna helpful video thanks a lot,"['UNK', 'UNK', 'EN', 'EN', 'EN', 'UNK']",/ɪtnə heːlpfʊl vɪdioʊ θæŋks ə loːt/
finally got my dream job super excited,positive,finally got my dream job super excited,"['EN', 'EN', 'EN', 'UNK', 'EN', 'UNK', 'EN']",/faɪnəliː gɒt maɪ dreːəm dʒɒb sʊpeːr ɪksaɪtɪd/
ye song toh dil ko touch kar gaya,positive,ye song toh dil ko touch kar gaya,"['HI', 'EN', 'HI', 'UNK', 'HI', 'UNK', 'HI', 'HI']",/jeː sɒŋ toː dɪl koː taʊtʃ kər gəjaː/
bahut maza aaya is trip mein,positive,bahut maza aaya is trip mein,"['HI', 'UNK', 'HI', 'EN', 'UNK', 'HI']",/bəhʊt məzə aːjaː ɪz trɪp mẽː/
kya zabardast performance thi loved it,positive,kya zabardast performance thi loved it,"['HI', 'HI', 'UNK', 'HI', 'EN', 'EN']",/kjaː zəbərdəst peːrfoːrmənkeː tʰiː loːveːd ɪt/
aaj ka dinner was absolutely delicious,positive,aaj ka dinner was absolutely delicious,"['HI', 'HI', 'EN', 'EN', 'EN', 'UNK']",/aːdʒ kaː dɪnər wɒz əbsoːlʊteːlj deːlɪkɪaʊs/
